name,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,availability_365,,
SALE !!!City 1 bed Luxury Residence,Cecille,Sisli,41.06024,28.99147,Entire home/apt,384,1,22,0.24,365,,
fairly furnished flat @ city center,Atila,Sisli,41.05274,28.99108,Entire home/apt,432,3,20,0.21,335,,
Ottoman istanbul..Yusufpasha Tram ترام يوسف باشا,Bãśmä,Fatih,41.01263,28.94498,Private room,110,3,23,0.24,193,,
Room in Central Istanbul / Cihangir,Yesim,Beyoglu,41.03044,28.98298,Private room,192,2,18,0.18,365,,
Near the bosphorus,Omer,Besiktas,41.06782,29.04236,Private room,274,2,26,0.28,177,,
"Couple friendly, Cute Roof w terrace in Beyoglu",Mehmet,Beyoglu,41.03102,28.97484,Entire home/apt,377,2,38,0.59,307,,
ULTRA LUXE RESIDENCE WITH FREE SWIM.POOL ETC,Angie,Basaksehir,41.0718,28.67921,Entire home/apt,638,6,12,0.20,365,,
"comfy room in Taksim, Istanbul",Özgür,Sisli,41.04418,28.98344,Private room,82,2,3,0.05,83,,
1+1 beşiktaş modern house,Sevil,Besiktas,41.05716,29.0075,Entire home/apt,960,3,0,,365,,
3+1 istiklal street from landlord,Sevil,Beyoglu,41.03509,28.98145,Entire home/apt,411,2,19,0.20,365,,
"Fair, clean & comfy Apt - Beyoglu",Fahrettin,Beyoglu,41.03185,28.97146,Entire home/apt,1152,1,9,0.09,225,,
Duplex Penthouse Central Located,Ozan,Sisli,41.05739,28.9955,Private room,151,1,2,0.02,365,,
The best room for young people,Berkan,Beyoglu,41.03404,28.98117,Private room,75,1,43,0.44,0,,
Flats in Taksim 2 min. to square #2,Vedat Öz,Bagcilar,41.03183,28.84544,Entire home/apt,384,2,2,0.02,365,,
decent price/quality balance in Ist,Necip,Fatih,41.01667,28.9303,Private room,75,20,9,0.09,180,,
Nakkas Apart,Nakkas,Fatih,41.0056,28.9704,Entire home/apt,836,1,3,0.03,365,,
Very central place-small room for 1,Biray Anil,Sisli,41.06262,28.984,Private room,75,1,42,0.43,300,,
"Elegant, bright, lovely sea views in Galata!",Julia & Tarkan,Beyoglu,41.02618,28.9761,Entire home/apt,1694,2,60,0.98,352,,
"Cosy charm, fabulous terrace views in Galata!",Julia & Tarkan,Beyoglu,41.02496,28.97311,Entire home/apt,1844,2,88,0.92,352,,
Room in Anatolian side of Istanbul,Sabite,Kadikoy,40.98268,29.04714,Private room,103,1,0,,365,,
"Cosy with frescoes, terrace views in Galata!",Julia & Tarkan,Beyoglu,41.02815,28.97333,Entire home/apt,1152,2,87,0.89,251,,
Stylish gem with amazing charm and nightlife buzz!,Julia & Tarkan,Beyoglu,41.03567,28.97792,Entire home/apt,693,2,166,1.76,318,,
2 Bedrooms & Galata & Best Design,Ahmet,Beyoglu,41.02718,28.9742,Entire home/apt,761,2,94,0.97,365,,
"135 sqm. at Galata Tower, Beyoğlu",Sedat,Beyoglu,41.02747,28.97486,Entire home/apt,761,3,129,1.41,348,,
Spacious room in 2br renovated flat,Pinar,Beyoglu,41.03807,28.97582,Private room,137,3,16,0.21,364,,
"A Lovely, Modern, 1bd Apt in Center",Pinar,Beyoglu,41.03806,28.97582,Entire home/apt,267,2,53,0.54,365,,
Great flat in central Istanbul,Yilmaz,Beyoglu,41.03102,28.98196,Entire home/apt,528,8,11,0.12,363,,
5 mın.bagdad str-30 mın.prınces isl,Muzaffer,Kadikoy,40.98132,29.07824,Private room,446,1,0,,0,,
flat in a safe & quiet district,Mehmet,Kadikoy,41.00931,29.04331,Private room,206,1,0,,365,,
Very Central Room With Sea View,Hexagram,Beyoglu,41.03068,28.98372,Private room,377,1,47,0.50,365,,
Apartment flat entrance - Beyoglu,Fahrettin,Beyoglu,41.03008,28.97035,Entire home/apt,459,2,22,0.23,89,,
Beautiful Triplex in City Center,Figen,Besiktas,41.07538,29.03549,Entire home/apt,617,5,13,0.14,358,,
Nakkas Apart with Sea View,Nakkas,Fatih,41.00503,28.97058,Private room,926,1,0,,365,,
Very modern Apartment in Gayrettepe,Murat,Besiktas,41.0638,29.00437,Private room,1069,1,0,,365,,
Apartment for rent in Cihangir,Berrak,Beyoglu,41.03289,28.98485,Entire home/apt,686,1,0,,0,,
Cozy room in 2br renovated flat,Pinar,Beyoglu,41.03806,28.97581,Private room,137,3,22,0.26,364,,
Historical Istanbul House @ Taksim,Daniel,Sisli,41.04251,28.98788,Entire home/apt,315,3,293,3.04,269,,
A duplex @ heart of shop & dine,Ozlem,Sisli,41.05352,28.99886,Entire home/apt,843,2,1,0.02,363,,
Blue Suites by V Sultanahmet Deluxe,Volkan,Fatih,41.00507,28.98081,Entire home/apt,926,2,9,0.11,365,,
"Fully furnished penthouse, Beyoglu",Fatma,Beyoglu,41.036,28.97583,Entire home/apt,171,3,85,1.08,1,,
"Economic Apt @ Taksim SQ, Beyoglu",Goksel,Beyoglu,41.0343,28.97999,Private room,343,3,0,,365,,
"cosy & comfy room, very central",Rey,Beyoglu,41.03533,28.98769,Private room,240,2,0,,365,,
Designer Penthouse in Trendy Bebek,Bora,Besiktas,41.08333,29.04047,Entire home/apt,1714,3,16,0.17,364,,
simple&clean room with amazin view in galata,Umut,Beyoglu,41.02626,28.97673,Private room,192,7,16,0.17,91,,
Bright room with balcony in 2b flat,Pinar,Beyoglu,41.03806,28.97581,Private room,137,3,25,0.29,364,,
Lively room in 2b renovated flat,Pinar,Beyoglu,41.03806,28.97581,Private room,137,3,5,0.05,332,,
"LARGE, SAFE & COMFORTABLE FLAT",Seyda Mari,Sisli,41.05606,28.9832,Entire home/apt,405,2,150,1.57,365,,
comfortable and  central location,Fahrettin,Beyoglu,41.03162,28.9715,Entire home/apt,768,30,23,0.24,364,,
"CENTRAL PART OF ISTANBUL,TAXIM ",Cerith,Sisli,41.04295,28.98281,Entire home/apt,206,2,56,0.59,0,,
 STUDiO FLAT /ERASMUS STUDENT (İST,Şermin,Sisli,41.05019,28.98696,Entire home/apt,384,3,0,,179,,
double BR @ the heart of Cihangir,Galata,Beyoglu,41.02567,28.9751,Private room,459,1,0,,365,,
"spacious & cozy flat @ city center, flat No.3",Mustafa,Beyoglu,41.03951,28.98167,Entire home/apt,343,1,1,0.01,362,,
amazing room with bosphorus view in galata,Umut,Beyoglu,41.02626,28.97673,Private room,192,7,11,0.11,91,,
"room, quarto, camera in a nice town",Koray,Uskudar,41.0097,29.04734,Private room,267,1,0,,365,,
Cosy Double Room with Huge Terrace!,Başak,Besiktas,41.05193,29.00551,Private room,103,20,45,0.47,334,,
Modern Parisian Apartment in Galata,Fabrice,Fatih,41.01989,28.95847,Private room,960,1,0,,365,,
Room in Kadikoy/Istanbul,Ezgi,Kadikoy,40.98628,29.03288,Private room,309,1,0,,364,,
Cihangir Centre - Large Room ,Jordan,Beyoglu,41.03112,28.98395,Private room,192,1,0,,365,,
Flat and roomIN OLDCITY SULTANAHMET,Adem,Fatih,41.00419,28.97035,Private room,459,1,0,,364,,
Double room in Avenue Bagdat Apart,Pelin,Kadikoy,40.97637,29.06653,Private room,267,7,7,0.07,365,,
"Bosphorus View, Room in Pera Taksim",Nuri Harun,Beyoglu,41.0305,28.97325,Private room,48,3,5,0.05,0,,
Student Flats Student Discounts,Thyme,Kadikoy,40.99429,29.02797,Private room,69,30,4,0.04,364,,
Blue Suites by V 1 Sultanahmet,Volkan,Fatih,41.00685,28.98025,Hotel room,542,1,83,0.94,365,,
Blue Suites by V 2 Sultanahmet,Volkan,Fatih,41.00512,28.97901,Hotel room,542,1,37,0.42,365,,
Spatious room in Rumeli Hisari,Asli,Sariyer,41.08665,29.04613,Private room,514,1,0,,365,,
Enjoy the sea view rooms & terrace,Yasemin,Fatih,40.99825,28.92964,Private room,398,1,0,,0,,
TAKSİM FLAT  FOR SHORT OR LONG TERM RENTİNG,Enil Faruk,Beyoglu,41.03626,28.97344,Entire home/apt,192,2,202,2.32,358,,
City Centre Urban Flat,Burçin,Sisli,41.06254,28.98454,Entire home/apt,123,3,21,0.66,365,,
Full furnished flat in Beyoglu/IST,Bilal,Beyoglu,41.03837,28.98309,Entire home/apt,679,1,0,,365,,
Designer-renovated Galata Tower Appartment,Nadira,Beyoglu,41.02699,28.97475,Entire home/apt,542,2,201,2.09,356,,
Pretty Room at Kadıköy Very Central,Çağdaş Ozan,Kadikoy,40.99408,29.02736,Private room,96,1,16,0.17,362,,
small house in outside of istanbul,Ali,Silivri,41.14007,28.31601,Private room,1063,1,0,,365,,
Historical Flat in Galata,Faik,Beyoglu,41.02574,28.97505,Private room,226,360,0,,365,,
